Genotype,Soil_type,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Snowden,Hancock,S1,M,S1_10,S1_4,4,N,tube,NA,0.11,33.74,2.1,35.95,,,,,,,
Snowden,Hancock,S1,M,S1_10,S1_9,4,N,tube,NA,0.19,26.2,2.67,29.06,,,,,,,
Snowden,Hancock,S1,M,S1_10,S1_10,4,N,tube,NA,0.18,33.46,1.93,35.57,,,,,,,
Snowden,Hancock,S1,M,S1_8,S1_1,4,P,tube,NA,0.24,36.54,3.74,40.52,,,,,,,
Snowden,Hancock,S1,M,S1_8,S1_5,4,P,tube,NA,0.21,25.3,1.87,27.38,,,,,,,
Snowden,Hancock,S1,M,S1_8,S1_6,4,P,tube,NA,0.27,46,1.84,48.11,,,,,,,
Snowden,Hancock,S1,M,S1_8,S1_8,4,P,tube,NA,0.21,36.24,2.96,39.41,,,,,,,
Snowden,Winterfell,S2,M,S2_4,S2_2,4,N,tube,NA,0.16,43.31,1.78,45.25,,,,,,,
Snowden,Winterfell,S2,M,S2_4,S2_3,4,N,tube,NA,0.26,53.06,2.79,56.11,,,,,,,
Snowden,Winterfell,S2,M,S2_4,S2_9,4,N,tube,NA,0.15,31.13,3.18,34.46,,,,,,,
Snowden,Winterfell,S2,M,S2_4,S2_10,4,N,tube,NA,0.06,18.87,2.5,21.43,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_4,4,P,tube,NA,0.15,23.78,3.31,27.24,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_6,4,P,tube,NA,0.29,38.52,1.83,40.64,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_7,4,P,tube,NA,0.24,43.57,2.74,46.55,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_8,4,P,tube,NA,0.17,33.69,3.14,37,,,,,,,
Wac 5,Sterile,W1,A,none,W1_2,4,S,d2,1,0.69,2.87,1.76,5.32,,,,,,,
Wac 5,Sterile,W1,A,none,W1_9,4,S,d9,1,NA,NA,NA,NA,,,,,,,
Wac 5,Sterile,W2,A,none,W2_4,4,S,E4,2,0.75,0.17,2.85,3.77,,,,,,,
Wac 5,Sterile,W2,A,none,W2_7,4,S,E7,2,NA,NA,NA,NA,,,,,,,
Wac 5,Hancock,W1,A,W1_5,W1_10,4,P,d10,1,1.22,14.68,2.64,18.54,,,,,,,
Wac 5,Hancock,W1,A,W1_5,W1_5,4,P,d5,1,0.92,30.21,3.1,34.23,,,,,,,
