Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_1,3,P,D1,1,1.66,,6.65,8.31,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_2,3,P,D2,1,1.62,,9.77,11.39,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_4,3,P,D4,1,1.05,,3.85,4.9,,,,,,,NO TUBER
Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_7,3,P,D7,1,1.82,,5.36,7.18,,,,,,,NO TUBER
G.Chili,Hancock,GC1,C,GC1_1,GC1_2,3,N,E2,1,1.03,40.13,6.83,47.99,,,,,,,
G.Chili,Hancock,GC1,C,GC1_1,GC1_3,3,N,E3,1,0.92,19.53,5.59,26.04,,,,,,,
G.Chili,Hancock,GC1,C,GC1_1,GC1_6,3,N,E6,1,1.08,29.99,5.16,36.23,,,,,,,
G.Chili,Hancock,GC1,C,GC1_1,GC1_7,3,N,E7,1,0.69,31.68,4.38,36.75,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_1,3,P,E1,1,1.23,24.55,6.76,32.54,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_5,3,P,E5,1,1.32,34.78,5.02,41.12,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_9,3,P,E9,1,0.85,29.27,5.47,35.59,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_10,3,P,E10,1,1.21,39.82,6.77,47.8,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_4,3,S,E4,1,0.6,58.81,3.85,63.26,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_8,3,S,E8,1,0.63,54.11,3.19,57.93,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_2,3,S,C2,1,1.28,27.54,7.34,36.16,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_3,3,S,C3,1,1.03,23.63,5.78,30.44,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_5,3,P,C5,1,1.18,9,7.03,17.21,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_6,3,P,C6,1,1.54,11.21,7.49,20.24,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_8,3,P,C8,1,1.64,18.76,7.87,28.27,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_10,3,P,,,,,,0,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_1,3,N,C1,1,1.57,18.74,6.33,26.64,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_4,3,N,C4,1,1.39,8.34,6.34,16.07,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_7,3,N,C7,1,1.69,13.62,5.65,20.96,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_9,3,N,C9,1,0.55,11.84,5.72,18.11,,,,,,,
Huagalina,Hancock,H1,A,H1_6,H1_1,3,P,G1,1,1.21,,4.33,5.54,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_6,H1_4,3,P,G4,1,0.25,,3.2,3.45,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_6,H1_8,3,P,G8,1,0.37,,2.84,3.21,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_6,H1_10,3,P,G10,1,0.73,,5.61,6.34,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_8,H1_2,3,N,G2,1,0.6,,3.45,4.05,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_8,H1_3,3,N,G3,1,0.57,,3.38,3.95,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_8,H1_5,3,N,G5,1,0.29,,2.87,3.16,,,,,,,NO TUBER
Huagalina,Hancock,H1,A,H1_8,H1_9,3,N,G9,1,0.86,,2.79,3.65,,,,,,,NO TUBER
