"","combo_line","Genotype","Soil_type","Selection","Iteration","avg","n","se"
"187","Wac 663_Hancock_N","Wac 663","Hancock","N",5,12.2075,4,2.98010171806266
"188","Wac 663_Hancock_none","Wac 663","Hancock","none",1,7.42666666666667,3,3.697568269973
"189","Wac 663_Hancock_P","Wac 663","Hancock","P",2,27.7325,4,0.947332878841083
"190","Wac 663_Hancock_P","Wac 663","Hancock","P",3,6.56,2,3.04
"191","Wac 663_Hancock_P","Wac 663","Hancock","P",4,7.7775,4,3.30077610823071
"192","Wac 663_Hancock_P","Wac 663","Hancock","P",5,11.935,4,3.05786009054262
"193","Wac 663_Sterile_S","Wac 663","Sterile","S",2,19.12,4,2.46482927062572
"194","Wac 663_Sterile_S","Wac 663","Sterile","S",3,4.125,2,1.655
"195","Wac 663_Sterile_S","Wac 663","Sterile","S",4,3.89,4,1.3399813431537
"196","Wac 663_Sterile_S","Wac 663","Sterile","S",5,6.21,4,0.909789352909049
"197","Wac 663_Winterfell_N","Wac 663","Winterfell","N",2,15.3875,4,1.20065520307317
"198","Wac 663_Winterfell_N","Wac 663","Winterfell","N",3,0.53,3,0.331511689085016
"199","Wac 663_Winterfell_N","Wac 663","Winterfell","N",4,6.1925,4,2.86772957523311
"200","Wac 663_Winterfell_N","Wac 663","Winterfell","N",5,5.92,3,3.53903941769515
"201","Wac 663_Winterfell_none","Wac 663","Winterfell","none",1,2.69,1,NA
"202","Wac 663_Winterfell_P","Wac 663","Winterfell","P",2,18.305,4,2.06758514536484
"203","Wac 663_Winterfell_P","Wac 663","Winterfell","P",3,2.15,2,0.76
"204","Wac 663_Winterfell_P","Wac 663","Winterfell","P",4,7.6775,4,2.57819825653498
"205","Wac 663_Winterfell_P","Wac 663","Winterfell","P",5,6.52333333333333,3,2.58373330237039
