"","Genotype","Soil_type.x","Block","Clade.x","Soil_inoculation","Sample_ID","Iteration","rep","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","Clade.y","Soil_type.y","Selection.y","avg","n","se","Response"
"278","Cor.C 95","Sterile","CC2","C","Sterile","CC2_6",3,"","S","D6",1,"0.48",0,2.24,2.72,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"279","Cor.C 95","Sterile","CC2","C","Sterile","CC2_8",3,"","S","D8",1,"1.49",0,6.4,7.89,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"280","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_3",3,"","N","D3",1,"1.39",0,7.07,8.46,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"281","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_5",3,"","N","D5",1,"1.31",0,5.72,7.03,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"282","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_9",3,"","N","D9",1,"0",0,4.39,4.39,"",NA,NA,NA,NA,NA,"NO TUBER/BG?","C","Sterile","S",0,4,0,0
"283","Cor.C 95","Winterfell","CC2","C","CC2_1","CC2_10",3,"","N","D10",1,"1.49",0,5.98,7.47,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"284","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_1",3,"","P","D1",1,"1.66",0,6.65,8.31,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"285","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_2",3,"","P","D2",1,"1.62",0,9.77,11.39,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"286","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_4",3,"","P","D4",1,"1.05",0,3.85,4.9,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"287","Cor.C 95","Winterfell","CC2","C","CC2_10","CC2_7",3,"","P","D7",1,"1.82",0,5.36,7.18,"",NA,NA,NA,NA,NA,"NO TUBER","C","Sterile","S",0,4,0,0
"288","G.Chili","Hancock","GC1","C","GC1_1","GC1_2",3,"","N","E2",1,"1.03",40.13,6.83,47.99,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-0.892499999999998
"289","G.Chili","Hancock","GC1","C","GC1_1","GC1_3",3,"","N","E3",1,"0.92",19.53,5.59,26.04,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-21.4925
"290","G.Chili","Hancock","GC1","C","GC1_1","GC1_6",3,"","N","E6",1,"1.08",29.99,5.16,36.23,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-11.0325
"291","G.Chili","Hancock","GC1","C","GC1_1","GC1_7",3,"","N","E7",1,"0.69",31.68,4.38,36.75,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-9.3425
"292","G.Chili","Hancock","GC1","C","GC1_3","GC1_1",3,"","P","E1",1,"1.23",24.55,6.76,32.54,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-16.4725
"293","G.Chili","Hancock","GC1","C","GC1_3","GC1_5",3,"","P","E5",1,"1.32",34.78,5.02,41.12,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-6.2425
"294","G.Chili","Hancock","GC1","C","GC1_3","GC1_9",3,"","P","E9",1,"0.85",29.27,5.47,35.59,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-11.7525
"295","G.Chili","Hancock","GC1","C","GC1_3","GC1_10",3,"","P","E10",1,"1.21",39.82,6.77,47.8,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,-1.2025
"296","G.Chili","Sterile","GC1","C","Sterile","GC1_4",3,"","S","E4",1,"0.6",58.81,3.85,63.26,"",NA,NA,NA,NA,NA,"","C","Sterile","S",41.0225,4,8.99979015959076,17.7875
