"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"CC2_9_5","Cor.C 95","Winterfell","CC2","C","CC2_4","CC2_9","5","N","C9",1,"1.68",0,7.97,9.65,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",9,0,0.939121889815509,1.79742011739746
"GC1_1_3","G.Chili","Hancock","GC1","C","GC1_3","GC1_1","3","P","E1",1,"1.23",24.55,6.76,32.54,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-16.4725,"Negative",10,0,1.31902194744914,2.91161576119232
"GC1_1_5","G.Chili","Hancock","GC1","C","GC1_10","GC1_1","5","N","D1",1,"1.11",31.27,3.64,36.02,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,-17.745,"Negative",13,0,1.38721787020794,3.31048793401702
"GC1_10_3","G.Chili","Hancock","GC1","C","GC1_3","GC1_10","3","P","E10",1,"1.21",39.82,6.77,47.8,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-1.2025,"Negative",11,0,1.2701292868511,3.159196860502
"GC1_10_4","G.Chili","Hancock","GC1","C","GC1_3","GC1_10","4","N","C10",1,"0.06",26.6,1.04,27.7,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",35.68,3,4.639709043,-9.08,"Negative",17,0,1.52121940324597,3.21023253518052
"GC1_2_3","G.Chili","Hancock","GC1","C","GC1_1","GC1_2","3","N","E2",1,"1.03",40.13,6.83,47.99,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-0.8925,"Negative",10,0,1.45418225317631,3.33097379978893
"GC1_2_5","G.Chili","Hancock","GC1","C","GC1_7","GC1_2","5","P","D2",1,"2.75",38.17,12.17,53.09,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,-10.845,"Negative",10,0,1.34525446927036,3.28369157153797
"GC1_3_3","G.Chili","Hancock","GC1","C","GC1_1","GC1_3","3","N","E3",1,"0.92",19.53,5.59,26.04,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-21.4925,"Negative",15,0,1.46907850347416,3.36064050418227
"GC1_3_5","G.Chili","Hancock","GC1","C","GC1_7","GC1_3","5","P","D3",1,"1.53",36.56,12.21,50.3,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,-12.455,"Negative",11,0,1.28141813022751,3.18068840054791
"GC1_5_3","G.Chili","Hancock","GC1","C","GC1_3","GC1_5","3","P","E5",1,"1.32",34.78,5.02,41.12,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-6.2425,"Negative",13,0,1.64103945447581,3.98125778326768
"GC1_5_5","G.Chili","Hancock","GC1","C","GC1_7","GC1_5","5","P","D5",1,"1.79",37.64,6.01,45.44,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,-11.375,"Negative",11,0,1.15422801772086,2.62383805586925
"GC1_6_3","G.Chili","Hancock","GC1","C","GC1_1","GC1_6","3","N","E6",1,"1.08",29.99,5.16,36.23,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-11.0325,"Negative",16,0,1.69889646743433,4.37055442767889
"GC1_6_5","G.Chili","Hancock","GC1","C","GC1_10","GC1_6","5","N","D6",1,"0.77",52.24,8.41,61.42,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,3.225,"Positive",11,0,1.29289470213714,2.99645392575294
"GC1_7_4","G.Chili","Hancock","GC1","C","GC1_10","GC1_7","4","P","C7",1,"0.23",45.32,0.88,46.43,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",35.68,3,4.639709043,9.64,"Positive",11,0,1.4649381736759,3.37076771201127
"GC1_8_5","G.Chili","Hancock","GC1","C","GC1_10","GC1_8","5","N","D8",1,"1",65.25,6.25,72.5,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,16.235,"Positive",11,0,1.18005343529185,2.67435343186903
"GC1_9_5","G.Chili","Hancock","GC1","C","GC1_7","GC1_9","5","P","D9",1,"1.9",38.05,12.3,52.25,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",49.015,4,2.460997427,-10.965,"Negative",13,0,1.33792536727237,3.13164695469842
"GC2_1_3","G.Chili","Winterfell","GC2","C","GC2_8","GC2_1","3","N","C1",1,"1.57",18.74,6.33,26.64,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-22.2825,"Negative",12,0,1.54041488240479,3.89785494579196
"GC2_2_4","G.Chili","Winterfell","GC2","C","GC2_4","GC2_2","4","N","A2",1,"0.11",20.02,1.49,21.62,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",35.68,3,4.639709043,-15.66,"Negative",19,0,1.64724404934154,3.98714640473814
"GC2_4_3","G.Chili","Winterfell","GC2","C","GC2_8","GC2_4","3","N","C4",1,"1.39",8.34,6.34,16.07,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-32.6825,"Negative",11,0,1.03574384005423,2.27813865775281
"GC2_5_3","G.Chili","Winterfell","GC2","C","GC2_7","GC2_5","3","P","C5",1,"1.18",9,7.03,17.21,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-32.0225,"Negative",13,0,1.5336093186413,3.61750581503082
"GC2_6_3","G.Chili","Winterfell","GC2","C","GC2_7","GC2_6","3","P","C6",1,"1.54",11.21,7.49,20.24,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-29.8125,"Negative",11,0,1.59749108290808,4.03803938932153
"GC2_7_3","G.Chili","Winterfell","GC2","C","GC2_8","GC2_7","3","N","C7",1,"1.69",13.62,5.65,20.96,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-27.4025,"Negative",12,0,1.38570674288222,3.14103708775322
"GC2_7_4","G.Chili","Winterfell","GC2","C","GC2_8","GC2_7","4","P","A7",1,"0.1",52.07,1.18,53.35,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",35.68,3,4.639709043,16.39,"Positive",17,0,1.20379762605819,2.29673147126572
"GC2_8_3","G.Chili","Winterfell","GC2","C","GC2_7","GC2_8","3","P","C8",1,"1.64",18.76,7.87,28.27,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-22.2625,"Negative",12,0,1.57713047461507,3.90032888723687
"GC2_9_3","G.Chili","Winterfell","GC2","C","GC2_8","GC2_9","3","N","C9",1,"0.55",11.84,5.72,18.11,"",NA,NA,NA,NA,NA,"","G.Chili_Sterile_S","Sterile","S",41.0225,4,8.99979016,-29.1825,"Negative",10,0,1.51290878498784,3.93290941473074
"H1_1_3","Huagalina","Hancock","H1","A","H1_6","H1_1","3","P","G1",1,"1.21",0,4.33,5.54,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",12,0,1.41328381079828,3.2674939630597
"H1_1_5","Huagalina","Hancock","H1","A","H1_5","H1_1","5","P","B1",1,"1.02",22.84,7.36,31.22,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-2.2025,"Negative",11,0,1.25709699481493,3.16172534426962
"H1_10_5","Huagalina","Hancock","H1","A","H1_7","H1_10","5","N","B10",1,"0.52",17.53,4.55,22.6,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-7.5125,"Negative",13,0,1.16400065442693,2.44476362004438
